"parlparseid","parlparsememberid","firstname","lastname","party","MP position","Constituency position"
"uk.org.publicwhip/person/11076","uk.org.publicwhip/member/40273","Ann","McKechin","lab",-1.02822057383095,-1.82090999803108
"uk.org.publicwhip/person/11087","uk.org.publicwhip/member/40086","Khalid","Mahmood","lab",-0.993966878092175,-0.670154995880057
"uk.org.publicwhip/person/11093","uk.org.publicwhip/member/40061","John","Mann","lab",-0.742160733483618,-0.228038490243331
"uk.org.publicwhip/person/11109","uk.org.publicwhip/member/40417","Patrick","Mercer","con",0.879800195939856,1.29705303963296
"uk.org.publicwhip/person/11148","uk.org.publicwhip/member/40681","Albert","Owen","lab",-0.652531839533992,-0.298385437845862
"uk.org.publicwhip/person/11174","uk.org.publicwhip/member/40566","John","Pugh","lib",0.506064250253999,0.536284943168665
"uk.org.publicwhip/person/11185","uk.org.publicwhip/member/40046","Alan","Reid","lib",0.278566875940593,-0.560065188488491
"uk.org.publicwhip/person/11199","uk.org.publicwhip/member/40504","Andrew","Rosindell","con",1.77990493549733,1.67162320029927
"uk.org.publicwhip/person/11221","uk.org.publicwhip/member/40473","Jim","Sheridan","lab",-1.20941988700309,-1.10538791872452
"uk.org.publicwhip/person/11267","uk.org.publicwhip/member/40042","Mark","Tami","lab",-0.835624775758424,-0.293816716159976
"uk.org.publicwhip/person/11280","uk.org.publicwhip/member/40138","John","Thurso","lib",0.406850824948943,-0.881167865178117
"uk.org.publicwhip/person/11309","uk.org.publicwhip/member/40646","Tom","Watson","lab",-0.525801173125741,-0.0407335780329357
"uk.org.publicwhip/person/11324","uk.org.publicwhip/member/40112","Roger","Williams","lib",0.43557411832646,0.363397794755407
"uk.org.publicwhip/person/11340","uk.org.publicwhip/member/40601","David","Wright","lab",-0.92858269897403,0.168850093601024
"uk.org.publicwhip/person/11347","uk.org.publicwhip/member/40465","Huw","Irranca-Davies","lab",-0.902276101852427,-1.09717027828668
"uk.org.publicwhip/person/11360","uk.org.publicwhip/member/40083","Liam","Byrne","lab",-0.940573528960932,-0.660840851822579
"uk.org.publicwhip/person/11362","uk.org.publicwhip/member/40302","Iain","Wright","lab",-0.854332922933305,-0.822366900586611
"uk.org.publicwhip/person/11397","uk.org.publicwhip/member/40393","Nadine","Dorries","con",0.967067886182186,1.5780124739787
"uk.org.publicwhip/person/11406","uk.org.publicwhip/member/40076","Graham","Stuart","con",1.40976400630212,0.722696177178728
"uk.org.publicwhip/person/11420","uk.org.publicwhip/member/40088","John","Hemming","lib",0.589116780668058,-0.466328858617204
"uk.org.publicwhip/person/11421","uk.org.publicwhip/member/40089","Helen","Goodman","lab",-0.793062041060763,-0.730944364961709
"uk.org.publicwhip/person/11427","uk.org.publicwhip/member/40095","David","Anderson","lab",-1.05671772264188,-1.01154185645053
"uk.org.publicwhip/person/11437","uk.org.publicwhip/member/40105","Tobias","Ellwood","con",NA,1.15143070991239
"uk.org.publicwhip/person/11450","uk.org.publicwhip/member/40117","Madeleine","Moon","lab",NA,-0.0536030752205429
"uk.org.publicwhip/person/11455","uk.org.publicwhip/member/40122","Kerry","McCarthy","lab",-0.656991061430152,-0.178141019102846
"uk.org.publicwhip/person/11458","uk.org.publicwhip/member/40125","Stephen","Williams","lib",0.593580825936891,-1.17232729520577
"uk.org.publicwhip/person/11461","uk.org.publicwhip/member/40129","Charles","Walker","con",NA,1.64964497256313
"uk.org.publicwhip/person/11480","uk.org.publicwhip/member/40145","Jennifer","Willott","lib",0.347045203270388,-1.31645553431012
"uk.org.publicwhip/person/11489","uk.org.publicwhip/member/40157","Mark","Williams","lib",0.442900914549167,-1.44353907322645
"uk.org.publicwhip/person/11494","uk.org.publicwhip/member/40163","Martin","Horwood","lib",0.463510554915618,0.637237142227189
"uk.org.publicwhip/person/11511","uk.org.publicwhip/member/40183","Jamie","Reed","lab",-1.00852107986272,-0.408099613525138
"uk.org.publicwhip/person/11513","uk.org.publicwhip/member/40430","Dan","Rogerson","lib",0.491117060223082,0.811185223364582
"uk.org.publicwhip/person/11531","uk.org.publicwhip/member/40200","Andrew","Gwynne","lab",-0.656897413461471,-0.538081924358813
"uk.org.publicwhip/person/11534","uk.org.publicwhip/member/40437","Natascha","Engel","lab",-0.8685472522761,0.224806184744365
"uk.org.publicwhip/person/11545","uk.org.publicwhip/member/40208","Edward","Miliband","lab",-0.934839615541054,-1.07554148413593
"uk.org.publicwhip/person/11558","uk.org.publicwhip/member/40174","Roberta","Blackman-Woods","lab",-0.991903061125057,-1.5758625411532
"uk.org.publicwhip/person/11559","uk.org.publicwhip/member/40295","Andy","Slaughter","lab",-0.842318708409423,0.0524842244709318
"uk.org.publicwhip/person/11592","uk.org.publicwhip/member/40636","Sharon","Hodgson","lab",-0.911247263322409,-0.904697733859234
"uk.org.publicwhip/person/11599","uk.org.publicwhip/member/40284","Adam","Holloway","con",1.36666997007873,1.11609474745338
"uk.org.publicwhip/person/11605","uk.org.publicwhip/member/40290","Meg","Hillier","lab",-0.712185771136576,-1.40889181783423
"uk.org.publicwhip/person/11607","uk.org.publicwhip/member/40292","Linda","Riordan","lab",-1.2183807866627,0.273098261164638
"uk.org.publicwhip/person/11610","uk.org.publicwhip/member/40162","Greg","Hands","con",NA,1.18725503310508
"uk.org.publicwhip/person/11621","uk.org.publicwhip/member/40175","Douglas","Carswell","con",1.6769192443068,1.47190226814429
"uk.org.publicwhip/person/11647","uk.org.publicwhip/member/40345","Diana","Johnson","lab",-0.815023744869037,-1.44740390663007
"uk.org.publicwhip/person/11651","uk.org.publicwhip/member/40328","Lee","Scott","con",NA,1.38104112030162
"uk.org.publicwhip/person/11656","uk.org.publicwhip/member/40335","Emily","Thornberry","lab",-0.695955984929254,-0.56334657766988
"uk.org.publicwhip/person/11667","uk.org.publicwhip/member/40651","Rosie","Cooper","lab",-0.55704174545757,-0.154730305024052
"uk.org.publicwhip/person/11668","uk.org.publicwhip/member/40677","Ben","Wallace","con",1.06211332020483,1.35723245100044
"uk.org.publicwhip/person/11672","uk.org.publicwhip/member/40356","Greg","Mulholland","lib",0.468052463340554,-0.91502127241273
"uk.org.publicwhip/person/11692","uk.org.publicwhip/member/40375","Nia","Griffith","lab",-0.928512103141466,-1.19270734642148
"uk.org.publicwhip/person/11707","uk.org.publicwhip/member/40388","John","Leech","lib",0.412192624036315,-1.84306400245056
"uk.org.publicwhip/person/11715","uk.org.publicwhip/member/40403","Mark","Lancaster","con",1.06316239181025,1.07487762202239
"uk.org.publicwhip/person/11719","uk.org.publicwhip/member/40407","David","Davies","con",1.36162708970018,0.727310004783921
"uk.org.publicwhip/person/11732","uk.org.publicwhip/member/40423","Jessica","Morden","lab",-0.948949158814481,-0.540656820357826
"uk.org.publicwhip/person/11740","uk.org.publicwhip/member/40411","Edward","Balls","lab",-0.944807313163462,0.413118171384094
"uk.org.publicwhip/person/11742","uk.org.publicwhip/member/40457","Brian","Binley","con",1.26324799516344,0.883371521122687
"uk.org.publicwhip/person/11759","uk.org.publicwhip/member/40479","Stewart","Jackson","con",1.47778300337731,0.719238433976358
"uk.org.publicwhip/person/11760","uk.org.publicwhip/member/40480","Alison","Seabeck","lab",-1.01531702458171,0.349358444465133
"uk.org.publicwhip/person/11798","uk.org.publicwhip/member/40568","Anne","Main","con",1.35782774164848,0.857454832589127
"uk.org.publicwhip/person/11814","uk.org.publicwhip/member/40476","Angela","Smith","lab",-0.873442825750046,-0.0524215101578884
