Person.ID,First.name,Last.name,Party,Constituency,PCON22CD,DisplayName,SocialistCampaignGroup,TribuneGroup,OneNation,TRG_Patron,ERG_Subscriber
25326,Neil,Coyle,Labour,Bermondsey and Old Southwark,E14000553,Neil COYLE (Bermondsey and Old Southwark),0,0,0,0,0
11768,Stephen,Crabb,Conservative,Preseli Pembrokeshire,W07000065,Stephen CRABB (Preseli Pembrokeshire),0,0,1,0,0
25295,Angela,Crawley,Scottish National Party,Lanark and Hamilton East,S14000042,Angela CRAWLEY (Lanark and Hamilton East),0,0,0,0,0
24949,Stella,Creasy,Labour/Co-operative,Walthamstow,E14001013,Stella CREASY (Walthamstow),0,0,0,0,0
25843,Virginia,Crosbie,Conservative,Ynys Môn,W07000041,Virginia CROSBIE (Ynys Môn),0,0,0,0,0
24871,Tracey,Crouch,Conservative,Chatham and Aylesford,E14000626,Tracey CROUCH (Chatham and Aylesford),0,0,0,0,0
10828,Jon,Cruddas,Labour,Dagenham and Rainham,E14000657,Jon CRUDDAS (Dagenham and Rainham),0,1,0,0,0
10143,John,Cryer,Labour,Leyton and Wanstead,E14000790,John CRYER (Leyton and Wanstead),0,0,0,0,0
25393,Judith,Cummins,Labour,Bradford South,E14000588,Judith CUMMINS (Bradford South),0,1,0,0,0
24742,Alex,Cunningham,Labour,Stockton North,E14000970,Alex CUNNINGHAM (Stockton North),0,1,0,0,0
25727,Janet,Daby,Labour,Lewisham East,E14000787,Janet DABY (Lewisham East),0,0,0,0,0
25905,James,Daly,Conservative,Bury North,E14000611,James DALY (Bury North),0,0,0,0,0
10155,Edward,Davey,Liberal Democrat,Kingston and Surbiton,E14000770,Edward DAVEY (Kingston and Surbiton),0,0,0,0,0
10842,Wayne,David,Labour,Caerphilly,W07000076,Wayne DAVID (Caerphilly),0,1,0,0,0
11719,David,Davies,Conservative,Monmouth,W07000054,David DAVIES (Monmouth),0,0,0,0,0
25858,Gareth,Davies,Conservative,Grantham and Stamford,E14000714,Gareth DAVIES (Grantham and Stamford),0,0,0,0,0
10159,Geraint,Davies,Labour,Swansea West,W07000047,Geraint DAVIES (Swansea West),0,0,0,0,0
25292,James,Davies,Conservative,Vale of Clwyd,W07000060,James DAVIES (Vale of Clwyd),0,0,0,0,0
